instance,n,edges,budget_ms,seed,solver,objective,has_incumbent,wall_ms,valid,status,bound,branches,conflicts
C125-9.gph,125,787,10,1,degree,30,,0.020647,1,heuristic,,,
C125-9.gph,125,787,10,1,random,30,,0.022016,1,heuristic,,,
C125-9.gph,125,787,10,1,local,30,,0.077184,1,heuristic,,,
C125-9.gph,125,787,10,1,morph,34,,10.029,1,heuristic,,,
C125-9.gph,125,787,10,1,cp-sat,nan,False,10.884732999784319,0,UNKNOWN,0.0,0,0
C125-9.gph,125,787,10,2,degree,30,,0.018312,1,heuristic,,,
C125-9.gph,125,787,10,2,random,29,,0.019848,1,heuristic,,,
C125-9.gph,125,787,10,2,local,29,,0.071898,1,heuristic,,,
C125-9.gph,125,787,10,2,morph,34,,10.0472,1,heuristic,,,
C125-9.gph,125,787,10,2,cp-sat,nan,False,9.212024000134988,0,UNKNOWN,0.0,0,0
C125-9.gph,125,787,10,3,degree,30,,0.019933,1,heuristic,,,
C125-9.gph,125,787,10,3,random,29,,0.018764,1,heuristic,,,
C125-9.gph,125,787,10,3,local,29,,0.072409,1,heuristic,,,
C125-9.gph,125,787,10,3,morph,34,,10.0607,1,heuristic,,,
C125-9.gph,125,787,10,3,cp-sat,nan,False,10.689159999856201,0,UNKNOWN,0.0,0,0
C125-9.gph,125,787,10,4,degree,30,,0.017988,1,heuristic,,,
C125-9.gph,125,787,10,4,random,29,,0.01755,1,heuristic,,,
C125-9.gph,125,787,10,4,local,29,,0.106872,1,heuristic,,,
C125-9.gph,125,787,10,4,morph,34,,10.0667,1,heuristic,,,
C125-9.gph,125,787,10,4,cp-sat,nan,False,10.678481000013562,0,UNKNOWN,0.0,0,0
C125-9.gph,125,787,10,5,degree,30,,0.018175,1,heuristic,,,
C125-9.gph,125,787,10,5,random,31,,0.023529,1,heuristic,,,
C125-9.gph,125,787,10,5,local,31,,0.05998,1,heuristic,,,
C125-9.gph,125,787,10,5,morph,34,,10.0032,1,heuristic,,,
C125-9.gph,125,787,10,5,cp-sat,nan,False,10.333176000131061,0,UNKNOWN,0.0,0,0
C125-9.gph,125,787,50,1,degree,30,,0.018203,1,heuristic,,,
C125-9.gph,125,787,50,1,random,30,,0.020245,1,heuristic,,,
C125-9.gph,125,787,50,1,local,30,,0.062351,1,heuristic,,,
C125-9.gph,125,787,50,1,morph,34,,50.0467,1,heuristic,,,
C125-9.gph,125,787,50,1,cp-sat,29,True,51.18869599982645,1,FEASIBLE,47.0,824,0
C125-9.gph,125,787,50,2,degree,30,,0.018056,1,heuristic,,,
C125-9.gph,125,787,50,2,random,29,,0.016687,1,heuristic,,,
C125-9.gph,125,787,50,2,local,29,,0.062665,1,heuristic,,,
C125-9.gph,125,787,50,2,morph,34,,50.0426,1,heuristic,,,
C125-9.gph,125,787,50,2,cp-sat,29,True,50.40103400006046,1,FEASIBLE,46.0,849,27
C125-9.gph,125,787,50,3,degree,30,,0.021892,1,heuristic,,,
C125-9.gph,125,787,50,3,random,29,,0.017674,1,heuristic,,,
C125-9.gph,125,787,50,3,local,29,,0.063465,1,heuristic,,,
C125-9.gph,125,787,50,3,morph,34,,50.0572,1,heuristic,,,
C125-9.gph,125,787,50,3,cp-sat,29,True,50.37175799998295,1,FEASIBLE,46.0,860,13
C125-9.gph,125,787,50,4,degree,30,,0.01818,1,heuristic,,,
C125-9.gph,125,787,50,4,random,29,,0.020598,1,heuristic,,,
C125-9.gph,125,787,50,4,local,29,,0.073299,1,heuristic,,,
C125-9.gph,125,787,50,4,morph,34,,50.0272,1,heuristic,,,
C125-9.gph,125,787,50,4,cp-sat,30,True,50.27368300034141,1,FEASIBLE,46.0,829,2
C125-9.gph,125,787,50,5,degree,30,,0.017422,1,heuristic,,,
C125-9.gph,125,787,50,5,random,31,,0.037778,1,heuristic,,,
C125-9.gph,125,787,50,5,local,31,,0.060403,1,heuristic,,,
C125-9.gph,125,787,50,5,morph,34,,50.0033,1,heuristic,,,
C125-9.gph,125,787,50,5,cp-sat,31,True,50.45847800010961,1,FEASIBLE,46.0,831,7
C125-9.gph,125,787,100,1,degree,30,,0.017812,1,heuristic,,,
C125-9.gph,125,787,100,1,random,30,,0.017616,1,heuristic,,,
C125-9.gph,125,787,100,1,local,30,,0.063717,1,heuristic,,,
C125-9.gph,125,787,100,1,morph,34,,100.039,1,heuristic,,,
C125-9.gph,125,787,100,1,cp-sat,30,True,100.83974500003023,1,FEASIBLE,46.0,1440,50
C125-9.gph,125,787,100,2,degree,30,,0.020948,1,heuristic,,,
C125-9.gph,125,787,100,2,random,29,,0.01704,1,heuristic,,,
C125-9.gph,125,787,100,2,local,29,,0.061912,1,heuristic,,,
C125-9.gph,125,787,100,2,morph,34,,100.006,1,heuristic,,,
C125-9.gph,125,787,100,2,cp-sat,30,True,100.81939199972112,1,FEASIBLE,46.0,1168,50
C125-9.gph,125,787,100,3,degree,30,,0.039929,1,heuristic,,,
C125-9.gph,125,787,100,3,random,29,,0.022496,1,heuristic,,,
C125-9.gph,125,787,100,3,local,29,,0.063651,1,heuristic,,,
C125-9.gph,125,787,100,3,morph,34,,100.008,1,heuristic,,,
C125-9.gph,125,787,100,3,cp-sat,30,True,100.88953900003617,1,FEASIBLE,46.0,1193,55
C125-9.gph,125,787,100,4,degree,30,,0.018195,1,heuristic,,,
C125-9.gph,125,787,100,4,random,29,,0.020433,1,heuristic,,,
C125-9.gph,125,787,100,4,local,29,,0.062682,1,heuristic,,,
C125-9.gph,125,787,100,4,morph,34,,100.075,1,heuristic,,,
C125-9.gph,125,787,100,4,cp-sat,31,True,100.57993899999929,1,FEASIBLE,46.0,1164,38
C125-9.gph,125,787,100,5,degree,30,,0.062713,1,heuristic,,,
C125-9.gph,125,787,100,5,random,31,,0.020581,1,heuristic,,,
C125-9.gph,125,787,100,5,local,31,,0.070114,1,heuristic,,,
C125-9.gph,125,787,100,5,morph,34,,100.008,1,heuristic,,,
C125-9.gph,125,787,100,5,cp-sat,31,True,100.50393800020174,1,FEASIBLE,46.0,1170,76
C125-9.gph,125,787,1000,1,degree,30,,0.020964,1,heuristic,,,
C125-9.gph,125,787,1000,1,random,30,,0.017713,1,heuristic,,,
C125-9.gph,125,787,1000,1,local,30,,0.063125,1,heuristic,,,
C125-9.gph,125,787,1000,1,morph,34,,1000.01,1,heuristic,,,
C125-9.gph,125,787,1000,1,cp-sat,34,True,1000.4665459996431,1,FEASIBLE,46.0,5172,916
C125-9.gph,125,787,1000,2,degree,30,,0.019902,1,heuristic,,,
C125-9.gph,125,787,1000,2,random,29,,0.018307,1,heuristic,,,
C125-9.gph,125,787,1000,2,local,29,,0.062888,1,heuristic,,,
C125-9.gph,125,787,1000,2,morph,34,,1000.03,1,heuristic,,,
C125-9.gph,125,787,1000,2,cp-sat,34,True,1000.5044819999966,1,FEASIBLE,46.0,4608,871
C125-9.gph,125,787,1000,3,degree,30,,0.018452,1,heuristic,,,
C125-9.gph,125,787,1000,3,random,29,,0.01853,1,heuristic,,,
